block	model	mirror	angle	time	response	time2	diff	type
main	Modell13B	mirroredZ135	14	1569869	1	1571587.1	1718.1	rm_hit
main	Modell3A	mirroredY90	9	1572118.7	2	1574388.6	2269.9	rm_hit
main	Modell10A	originalZ45	4	1574918.3	1	1576212.2	1293.9	rm_hit
main	Modell11B	mirroredZ225	22	1576734.7	1	1579951.1	3216.4	rm_hit
main	Modell6B	originalZ315	28	1580484.1	2	1582467.4	1983.3	rm_hit
main	Modell12B	originalZ180	16	1583000.4	2	1589782	6781.6	rm_hit
main	Modell1A	mirroredY180	17	1590316	2	1593164.2	2848.2	rm_hit
main	Modell10B	mirroredY45	5	1593698.8	1	1595120	1421.2	rm_hit
main	Modell5A	mirroredZ270	26	1595648.5	2	1597004.6	1356.1	rm_hit
main	Modell16B	originalY0	1	1597531.6	2	1599103.3	1571.7	rm_hit
main	Modell6A	mirroredZ270	26	1599631.3	2	1601100.7	1469.4	rm_hit
main	Modell16B	mirroredY0	2	1601631	1	1602607.6	976.6	rm_hit
main	Modell14B	mirroredY225	21	1603130.8	1	1604869.2	1738.4	rm_hit
main	Modell8A	originalZ135	12	1605397.1	1	1608435.1	3038	rm_hit
main	Modell16B	mirroredY45	5	1608963.3	1	1610737.7	1774.4	rm_hit
main	Modell1B	originalZ270	24	1611262.9	2	1612958.7	1695.8	rm_hit
main	Modell2A	mirroredZ45	6	1613479.3	2	1616004.7	2525.4	rm_hit
main	Modell15A	mirroredY135	13	1616528.8	2	1618938.7	2409.9	rm_hit
main	Modell12B	mirroredZ90	10	1619461.7	1	1622993.6	3531.9	rm_hit
main	Modell4A	originalZ135	12	1623527.8	1	1625846.4	2318.6	rm_hit
main	Modell7B	mirroredZ270	26	1626377.3	1	1628556.6	2179.3	rm_hit
main	Modell9B	originalZ180	16	1629077	2	1631908.7	2831.7	rm_hit
main	Modell8B	mirroredY45	5	1632443.1	1	1634842.7	2399.6	rm_hit
main	Modell4B	originalZ45	4	1635376	2	1636808.8	1432.8	rm_hit
main	Modell11B	mirroredY0	2	1637342.4	1	1638245.4	903	rm_hit
main	Modell8A	mirroredZ135	14	1638775.5	2	1642320.5	3545	rm_hit
main	Modell16A	mirroredY135	13	1642841.6	1	1645275	2433.4	rm_incorrect
main	Modell10A	mirroredY135	13	1645807.8	2	1648911.8	3104	rm_hit
main	Modell13B	mirroredY90	9	1649440.6	1	1651326.2	1885.6	rm_hit
main	Modell7A	originalY270	23	1651856.9	1	1653495.8	1638.9	rm_hit
main	Modell8A	originalY180	15	1654023.3	1	1658120.1	4096.8	rm_hit
main	Modell4B	originalZ270	24	1658655.9	2	1662113.1	3457.2	rm_hit
main	Modell5B	mirroredY90	9	1662638.7	1	1664608.8	1970.1	rm_hit
main	Modell8B	originalY0	1	1665138.3	2	1666646.4	1508.1	rm_hit
main	Modell8B	originalY315	27	1667171.4	2	1668460	1288.6	rm_hit
main	Modell1A	mirroredZ270	26	1668987.8	2	1670660.6	1672.8	rm_hit
main	Modell9A	mirroredY0	2	1671187.4	2	1672351.8	1164.4	rm_hit
main	Modell6A	originalZ45	4	1672887.2	1	1675163.6	2276.4	rm_hit
main	Modell8B	mirroredZ45	6	1675686.8	1	1678108.2	2421.4	rm_hit
main	Modell14B	mirroredY135	13	1678636.3	1	1681358.1	2721.8	rm_hit
main	Modell2A	mirroredY45	5	1681885.9	2	1683803.1	1917.2	rm_hit
main	Modell9B	originalZ45	4	1684335.5	2	1688061.5	3726	rm_hit
main	Modell7A	originalY225	19	1688584.9	1	1693358.6	4773.7	rm_hit
main	Modell15B	originalY225	19	1693884.1	2	1696353.3	2469.2	rm_hit
main	Modell15A	mirroredZ45	6	1696883.6	2	1699959.7	3076.1	rm_hit
main	Modell11A	originalY45	3	1700483.1	1	1702904.1	2421	rm_hit
main	Modell2A	mirroredZ180	18	1703432.7	2	1706123.6	2690.9	rm_hit
main	Modell15B	originalY45	3	1706648.9	2	1708446.1	1797.2	rm_hit
main	Modell7A	originalY135	11	1708981.9	1	1711685.1	2703.2	rm_hit
